Los tacos estuvieron bien ricos,taco_bueno
Que buenos tacos,taco_bueno
Felicitenme al chef,taco_bueno
Me gustaron los tacos,taco_bueno
De los mejores tacos que he probado,taco_bueno
Los mejores tacos de la ciudad,taco_bueno
Ese wero se rifo con los tacos,taco_bueno
Para chuparse los dedos,taco_bueno
Estuvieron de rechupete,taco_bueno
Nunca me imagine que estuvieran tan buenos los tacos,taco_bueno
Estuvieron buenos,taco_bueno
Los tacos fueron buenos,taco_bueno
Quiero vovler a probar esos tacos,taco_bueno
No mames que buenos tacos,taco_bueno
El taco está sabroso,taco_bueno
Muy sabrosos los tacos,taco_bueno
Que tacos tan deliciosos,taco_bueno
Una delicia de tacos,taco_bueno
Los mas hermosos tacos,taco_bueno
El mejor taco,taco_bueno
El taco muy rico,taco_bueno
Amo estos tacos,taco_bueno
Volvere por mas tacos,taco_bueno
Adoro estos tacos,taco_bueno
Estan buenisimos,taco_bueno
Que tacos tan feos,taco_feo
No me gustaron los tacos,taco_feo
Estuvieron horribles los tacos,taco_feo
Que malos tacos,taco_feo
Estaban pasados los tacos,taco_feo
Estaban echados a perder,taco_feo
Son de suaperro,taco_feo
Estan muy mal los tacos,taco_feo
Estan feos,taco_feo
Los tacos estan para llorar,taco_feo
Son de donapelos,taco_feo
Los hicieron con las patas,taco_feo
Que asco de tacos,taco_feo
Me dieron diarrea,taco_feo
El taco muy apestoso,taco_feo
Apestaban esos tacos,taco_feo
Guacala de taco,taco_feo
Que taco tan mas culero,taco_feo
Los tacos mas culeros,taco_feo
De la verga estos tacos,taco_feo
Pesimos tacos,taco_feo
Pinches tacos feos,taco_feo
Los tacos estaban crudos,taco_feo
Los tacos sabian a perro,taco_feo
Estos tacos no tienen nada especial,taco_feo
Que buen servicio,servicio_bueno
El mesero se gano su buena propina,servicio_bueno
Excelente servicio,servicio_bueno
Es el mejor servicio de la ciudad,servicio_bueno
El servicio es 5 estrellas,servicio_bueno
Me encanto el servicio,servicio_bueno
Volveria a regresar solo por el servicio,servicio_bueno
Muy agradecidos con el buen servicio,servicio_bueno
El personal muy atento y muy cordial,servicio_bueno
El servicio fue muy rapido y eficiente,servicio_bueno
El servicio es adecuado,servicio_bueno
Te atienden muy rapido,servicio_bueno
Buena atencion,servicio_bueno
Me hicieron sentir como en casa,servicio_bueno
Los meseros son muy atentos,servicio_bueno
Fuimos tratados de la peor manera,servicio_malo
El servicio fue mediocre,servicio_malo
La mayoria del personal tiene pesima actitud como si te estuvieran regalando la estadia y comida,servicio_malo
Terrible atencion al cliente,servicio_malo
El peor servicio del mundo,servicio_malo
Los meseros atienden de mala gana,servicio_malo
Se tardan mucho en traerte tu comida,servicio_malo
Se confunden al traerte lo que pediste,servicio_malo
No hay suficientes meseros para toda la gente que hay,servicio_malo
Los meseros exigen propina,servicio_malo
Si no les das propina a los meseros se enojan y te tratan mal,servicio_malo
El servicio deja mucho que desear,servicio_malo
Tuve una mala experiencia con el servicio,servicio_malo
Los meseros trataban mal la comida y los tacos llegaban deshechos,servicio_malo
El mesero le escupio a mi taco,servicio_malo
"pudranse, que asco de personas son",servicio_malo
"pudranse, que asco de servicio",servicio_malo
